CouncilDistrict,didnotvote,voted,notelig,Turnout
1,46901,18459,38654,28.24
2,49601,20769,34089,29.51
3,52556,26448,40935,33.48
4,42423,19107,50779,31.05
5,42417,21928,43811,34.08
6,54399,30454,36985,35.89
7,59653,22022,23179,26.96
8,60439,15833,23748,20.76
9,66418,24670,23431,27.08
10,61554,20083,23362,24.6
11,41197,19631,26457,32.27
12,53970,23741,20928,30.55
13,38772,14133,34383,26.71
14,49920,12016,19494,19.4
15,47040,11578,19927,19.75
16,52516,14864,19529,22.06
17,53733,13822,20337,20.46
18,56133,15894,23716,22.07
19,33851,10752,46066,24.11
20,31130,7503,30558,19.42
21,31256,9584,18007,23.47
22,37127,19299,31616,34.2
23,43632,12782,38927,22.66
24,39983,12522,32723,23.85
25,34753,14085,29467,28.84
26,40777,19515,32949,32.37
27,60879,19864,22016,24.6
28,56948,13628,26241,19.31
29,37722,14146,39560,27.27
30,32713,9260,41501,22.06
31,53215,17437,21268,24.68
32,39782,9609,39653,19.45
33,53412,29126,30293,35.29
34,56343,20606,26974,26.78
35,60437,33890,24665,35.93
36,61402,25154,20751,29.06
37,51247,11712,21547,18.6
38,35286,10757,26553,23.36
39,49467,29652,28889,37.48
40,51891,22668,21211,30.4
41,58974,16815,18532,22.19
42,62299,15050,19669,19.46
43,49498,12210,30651,19.79
44,34213,5178,30908,13.15
45,54794,19506,22901,26.25
46,56306,16041,33639,22.17
47,43143,6325,31409,12.79
48,34992,7934,46431,18.48
49,54997,15905,25666,22.43
50,56525,15079,31047,21.06
51,61482,13947,32319,18.49
83,,1,,